Angle,Scaling,Current1,Current2,Current3,Current4
-71.70410869027103,2.191369080846291,57.11,115,50,50
-70.20674182614263,2.1046581361173105,57.11,110,50,50
-68.58191509257169,2.0195074833870814,57.11,105,50,50
-66.81560783261378,1.936122998438895,57.11,100,50,50
-66.24692716359084,1.787718906007911,57.11,115,55,50
-65.4058043132923,1.6926644992522706,57.11,115,50,55
-64.89233554959424,1.854742903695165,57.11,95,50,50
-64.27252306417346,1.712213606490353,57.11,110,55,50
-63.35531815470645,1.6207207230558087,57.11,110,50,55
-62.79516608498505,1.7756428122308519,57.11,90,50,50
-62.11878995029302,1.6389273995596707,57.11,105,55,50
-61.11751737696431,1.5510436496190805,57.11,105,50,55
-60.50584680824182,1.6991411767544702,57.11,85,50,50
-59.76712224275943,1.5681714342597524,57.11,100,55,50
-58.67335034633003,1.4839526035801622,57.11,100,50,55
-58.00510239186222,1.6256048918953223,57.11,80,50,50
-57.744177568170954,1.4094930700067123,57.11,115,60,50
-57.19802778254607,1.5003037401983959,57.11,95,55,50
-56.385380708257216,1.3290373359235887,57.11,115,55,55
-56.003119099983486,1.41981422802018,57.11,95,50,55
-55.27318154696265,1.555454587784999,57.11,75,50,50
-54.988200569306386,1.3487157293075303,57.11,110,60,50
-54.39176879202997,1.4357339648773537,57.11,90,55,50
-54.143040603130096,1.2308913340017447,57.11,115,50,60
-53.50451950300126,1.2720421765552694,57.11,110,55,55
-53.08727162575504,1.3590466291751242,57.11,90,50,55
-52.29074828394859,1.4891688516970667,57.11,70,50,50
-51.979858356752686,1.2913482437632193,57.11,105,60,50
-51.32937873273314,1.37492682073474,57.11,85,55,50
-51.0581866843471,1.1788605063899005,57.11,110,50,60
-50.362218696751235,1.2185587896021748,57.11,105,55,55
-49.90761535795584,1.3021218161998231,57.11,85,50,55
-49.040220743597494,1.4272862176746752,57.11,65,50,50
-48.701836536754534,1.2378647821807394,57.11,100,60,50
-47.994156457359594,1.3184030287712387,57.11,80,55,50
-47.6992534787642,1.1305555297481633,57.11,105,50,60
-46.94282483036784,1.1690692514229506,57.11,100,55,55
-46.44904604900639,1.2495650819154305,57.11,80,50,55
-45.507644121262324,1.3704033017908857,57.11,60,50,50
-45.14066497587714,1.1887896850833621,57.11,95,60,50
-44.3737113258171,1.2667361089014373,57.11,75,55,50
-44.054326482436565,1.0864734755508232,57.11,100,50,60
-43.62599584884074,1.0836484351419455,57.11,115,65,50
-43.23571519014606,1.1241011839034645,57.11,95,55,55
-42.70183869339155,1.201949561932046,57.11,75,50,55
-41.32594980237676,1.0214230678177587,57.11,115,60,55
-41.289202741966164,1.1446900785199632,57.11,90,60,50
-40.46255327627526,1.2205430071654477,57.11,70,55,50
-40.11863213872994,1.0471478000835701,57.11,95,50,60
-39.65770185223435,1.0448262643221173,57.11,110,65,50
-39.23802893271026,1.0842173189948474,57.11,90,55,55
-38.66443765425953,1.1598839556966416,57.11,70,50,55
-37.53424368759578,0.9475981942425975,57.11,115,55,60
-37.18891126355904,0.9870064969029855,57.11,110,60,55
-37.14955827170266,1.1061612000371788,57.11,85,60,50
-36.26506915628578,1.1804664902106872,57.11,65,55,50
-35.897532728859936,1.0131325245382634,57.11,90,50,60
-35.40537462788014,1.0113863121405195,57.11,105,65,50
-34.95769565374773,1.0499971828953791,57.11,85,55,55
-34.346495829691975,1.1239915558863744,57.11,65,50,55
-33.14451367868426,0.9194632475763689,57.11,110,55,60
