Angle,Scaling,Current1,Current2,Current3,Current4
-89.97556642318406,0.9346211253406344,150,85,80,126.9
-89.79573448352714,1.361191783341591,110,90,55,126.9
-89.77926409619006,1.3747313051992218,80,70,65,126.9
-89.7181903426492,0.9191090898717992,135,75,85,126.9
-89.71752971862871,0.6358754554029441,165,55,105,126.9
-89.67268628610478,0.8583431054459676,115,55,95,126.9
-89.66079037489364,0.8786902469393696,150,80,85,126.9
-89.64801131650756,1.4250786986638633,70,65,65,126.9
-89.63994771665436,1.1920446937018998,75,55,80,126.9
-89.6309758479756,1.3973431498491742,115,95,50,126.9
-89.62601997700669,1.320126430401692,105,85,60,126.9
-89.62213157196314,1.0310127792353894,135,85,75,126.9
-89.61780717956272,1.1491467035483163,85,60,80,126.9
-89.61476570909922,1.692928358572138,50,60,55,126.9
-89.61210251302477,1.3244207510918415,90,75,65,126.9
-89.58366096036647,1.58417812523457,55,60,60,126.9
-89.55568796082565,0.9856430792607479,150,90,75,126.9
-89.52196758571469,1.0204565958185208,120,75,80,126.9
-89.47929657809328,1.1752620167157857,110,80,70,126.9
-89.44654144108866,1.121265907632591,75,50,85,126.9
-89.44140458323989,0.9316578318316072,110,60,90,126.9
-89.41029439909722,1.462413794703222,50,50,70,126.9
-89.40967855475752,1.0808478381699116,85,55,85,126.9
-89.38200623804325,1.25794810163558,75,60,75,126.9
-89.37865823327083,1.2349937946994456,65,50,80,126.9
-89.35670368413057,0.8917772290006118,165,90,80,126.9
-89.34022513282085,1.2125784079077755,85,65,75,126.9
-89.2914916120354,1.161764336918689,145,100,60,126.9
-89.27927026638353,1.1063086446971138,95,65,80,126.9
-89.27797657239202,1.5707230472345635,80,80,50,126.9
-89.25797790938553,0.9596015688634681,120,70,85,126.9
-89.24891212409118,1.475509288059886,60,60,65,126.9
-89.21438620137161,1.1231731647158498,140,95,65,126.9
-89.20694087724088,1.2145994608944577,130,95,60,126.9
-89.1815989189163,1.628525848173114,70,75,50,126.9
-89.17330342791092,0.7471761873262937,135,55,100,126.9
-89.16985860042227,1.0764802584492452,120,80,75,126.9
-89.13836916073915,1.303399222035629,65,55,75,126.9
-89.11121210594656,1.2742129999468703,100,80,65,126.9
-89.07193289445364,1.5130354263621901,90,85,50,126.9
-89.0645225235385,0.7142011657398685,150,60,100,126.9
-89.05470122981431,1.0405089580776836,95,60,85,126.9
-89.03637341933353,1.2507910419284307,135,100,55,126.9
-89.01094110801198,0.8383766332352625,165,85,85,126.9
-88.9888336912995,1.5272744478308593,75,75,55,126.9
-88.97975712876509,1.1673061569950984,95,70,75,126.9
-88.96494990528954,1.1735897807622067,125,90,65,126.9
-88.91702923226957,1.4720150600904836,85,80,55,126.9
-88.91625884010526,1.0729288066902176,155,100,65,126.9
-88.91465058350063,1.1955441478139033,150,105,55,126.9
-88.8954865087277,0.9404112606242201,165,95,75,126.9
-88.81392220486264,1.6864824487694678,60,70,50,126.9
-88.80454848856738,1.1091093205971756,160,105,60,126.9
-88.77219243222348,1.5826844878547,65,70,55,126.9
-88.7582227572453,0.7802741033152941,120,50,100,126.9
-88.73755913646575,1.3190950988389956,75,65,70,126.9
-88.66155999792231,1.079800474964219,135,90,70,126.9
-88.64651513942376,1.2712757934197139,85,70,70,126.9
-88.63823303983524,1.3490097569346855,55,50,75,126.9
-88.6326700701241,1.3062705891524444,120,95,55,126.9
-88.62240558823474,1.2676571045819522,115,90,60,126.9
-88.6166713754096,0.8559705626989056,135,70,90,126.9
-88.61413161452505,1.0078008116307167,85,50,90,126.9
-88.6086340896452,1.5261631880201505,50,55,65,126.9
-88.5862230602619,1.0636448869384294,105,70,80,126.9
-88.56602703849904,0.8940784356204154,100,50,95,126.9
-88.53822507273956,1.3670736110712893,65,60,70,126.9
-88.52758519983038,1.4555561624718494,100,90,50,126.9
-88.52305982138522,1.4169383623280076,95,85,55,126.9
-88.51231258185594,0.7876559266546233,140,65,95,126.9
-88.50435468664925,1.032003648422506,150,95,70,126.9
-88.48049988990763,1.4262150232420616,80,75,60,126.9
-88.46277913634334,1.2822528627542027,140,105,50,126.9
-88.4552112221879,0.818072188598253,150,75,90,126.9
-88.43991728143392,1.4790693584970265,70,70,60,126.9
-88.35591006854078,0.6813940404454203,165,65,100,126.9
-88.34327234536231,1.0003623929615546,105,65,85,126.9
-88.32206125970433,0.8232127507871246,125,60,95,126.9
-88.29645373173535,1.6383297050391987,55,65,55,126.9
-88.2890697090406,1.1278624955467986,120,85,70,126.9
-88.27671511526506,1.3401589046469207,125,100,50,126.9
-88.27582526332124,0.6666851123774048,145,50,105,126.9
-88.26219171827253,1.1222603512228881,105,75,75,126.9
-88.24792599496723,0.8940853240599149,120,65,90,126.9
-88.23576822459843,1.224309345758798,110,85,65,126.9
-88.23109275062724,1.2236504123858378,95,75,70,126.9
-88.21231867721968,1.3735744391652385,90,80,60,126.9
-88.2021248698778,1.744741388994577,50,65,50,126.9
-88.19613919359621,0.9700404970924756,95,55,90,126.9
-88.19125701864388,1.1406134640718515,165,110,55,126.9
-88.1467781691923,0.7523145909197706,155,70,95,126.9
-88.12254399797878,1.5321511863529156,60,65,60,126.9
-88.09248108661257,1.224708667658494,155,110,50,126.9
-88.07813142763989,1.415278639031662,55,55,70,126.9
-87.97797319852899,0.9781301058005717,130,80,80,126.9
-87.94766134956315,0.9352209565450952,145,85,80,126.9
-87.76807994742938,1.3622165443705723,105,90,55,126.9
-87.75163449839806,1.3757802395556096,75,70,65,126.9
-87.74047928200953,0.9845637473803572,165,100,70,126.9
-87.69065613571244,0.919845036510842,130,75,85,126.9
-87.68999656863772,0.6363848712848139,160,55,105,126.9
